iter	Passed	Remaining
0	180	144291
1	209	83635
2	234	62167
3	257	51175
4	276	43994
5	303	40154
6	330	37437
7	350	34659
8	376	33073
9	397	31439
10	416	29904
11	438	28771
12	455	27557
13	479	26896
14	500	26201
15	518	25397
16	535	24676
17	558	24247
18	581	23901
19	600	23422
20	626	23226
21	645	22817
22	671	22684
23	695	22495
24	721	22366
25	744	22173
26	768	22015
27	787	21715
28	807	21461
29	831	21349
30	850	21103
31	874	20999
32	898	20890
33	922	20783
34	946	20696
35	972	20639
36	995	20528
37	1016	20387
38	1039	20278
39	1058	20108
40	1083	20060
41	1104	19933
42	1125	19812
43	1147	19723
44	1166	19575
45	1190	19510
46	1210	19396
47	1234	19344
48	1254	19230
49	1279	19189
50	1301	19116
51	1320	18989
52	1341	18901
53	1361	18804
54	1385	18765
55	1409	18721
56	1431	18660
57	1453	18601
58	1477	18558
59	1496	18457
60	1514	18346
61	1534	18266
62	1558	18232
63	1581	18190
64	1605	18152
65	1626	18084
66	1646	18017
67	1668	17958
68	1692	17926
69	1710	17840
70	1732	17787
71	1754	17741
72	1778	17707
73	1795	17615
74	1815	17552
75	1834	17475
76	1856	17432
77	1877	17376
78	1900	17345
79	1926	17342
80	1953	17337
81	1975	17298
82	1996	17248
83	2020	17221
84	2043	17191
85	2066	17156
86	2091	17139
87	2111	17084
88	2134	17048
89	2155	17002
90	2175	16951
91	2193	16881
92	2213	16830
93	2231	16763
94	2250	16703
95	2268	16633
96	2289	16592
97	2309	16545
98	2333	16521
99	2350	16455
100	2369	16395
101	2388	16345
102	2409	16303
103	2426	16241
104	2448	16203
105	2467	16157
106	2488	16115
107	2509	16076
108	2532	16052
109	2553	16014
110	2571	15962
111	2591	15921
112	2614	15893
113	2637	15873
114	2657	15826
115	2675	15778
116	2695	15734
117	2715	15694
118	2736	15659
119	2757	15626
120	2775	15572
121	2796	15543
122	2816	15502
123	2836	15463
124	2860	15447
125	2879	15401
126	2900	15372
127	2923	15347
128	2941	15302
129	2964	15278
130	2987	15254
131	3006	15214
132	3028	15188
133	3048	15149
134	3069	15118
135	3090	15087
136	3111	15058
137	3130	15018
138	3150	14982
139	3171	14951
140	3190	14913
141	3209	14872
142	3230	14841
143	3249	14804
144	3270	14775
145	3290	14739
146	3312	14715
147	3334	14691
148	3355	14660
149	3374	14622
150	3396	14599
151	3416	14566
152	3435	14529
153	3456	14498
154	3476	14468
155	3496	14432
156	3517	14406
157	3538	14377
158	3557	14343
159	3575	14302
160	3594	14267
161	3613	14231
162	3637	14213
163	3657	14185
164	3679	14160
165	3700	14132
166	3721	14105
167	3739	14068
168	3759	14037
169	3783	14022
170	3804	13994
171	3826	13971
172	3847	13945
173	3867	13913
174	3889	13890
175	3912	13869
176	3930	13834
177	3950	13804
178	3974	13790
179	3994	13759
180	4014	13730
181	4036	13707
182	4058	13681
183	4077	13650
184	4099	13629
185	4119	13598
186	4141	13575
187	4162	13551
188	4182	13520
189	4203	13496
190	4222	13462
191	4242	13436
192	4263	13408
193	4282	13375
194	4301	13344
195	4322	13321
196	4344	13297
197	4366	13276
198	4386	13248
199	4410	13230
200	4428	13198
201	4447	13166
202	4466	13135
203	4487	13110
204	4507	13083
205	4524	13045
206	4546	13025
207	4565	12994
208	4588	12975
209	4608	12947
210	4627	12917
211	4645	12884
212	4664	12853
213	4685	12830
214	4709	12813
215	4731	12792
216	4752	12767
217	4771	12739
218	4791	12712
219	4813	12689
220	4835	12667
221	4855	12642
222	4874	12613
223	4895	12588
224	4918	12568
225	4939	12545
226	4958	12516
227	4981	12497
228	5001	12471
229	5023	12449
230	5045	12428
231	5068	12408
232	5088	12383
233	5109	12359
234	5133	12343
235	5153	12315
236	5174	12293
237	5196	12271
238	5218	12249
239	5239	12224
240	5263	12208
241	5284	12184
242	5305	12161
243	5325	12135
244	5347	12114
245	5368	12090
246	5391	12070
247	5413	12050
248	5435	12028
249	5454	11999
250	5477	11980
251	5498	11958
252	5519	11933
253	5543	11916
254	5564	11893
255	5585	11868
256	5603	11838
257	5624	11815
258	5644	11790
259	5665	11766
260	5684	11738
261	5704	11714
262	5725	11690
263	5749	11673
264	5772	11654
265	5795	11634
266	5814	11606
267	5837	11587
268	5858	11565
269	5879	11540
270	5899	11515
271	5920	11492
272	5944	11475
273	5966	11454
274	5989	11434
275	6010	11411
276	6033	11391
277	6053	11367
278	6076	11347
279	6098	11326
280	6122	11308
281	6141	11280
282	6163	11259
283	6179	11228
284	6199	11201
285	6223	11184
286	6244	11161
287	6263	11135
288	6284	11112
289	6306	11090
290	6326	11065
291	6347	11042
292	6369	11022
