DIABETES,HIPERTENSION,OBESITY,death_rate,n,features,combo,COPD,ASTHMA,CARDIOVASCULAR,RENAL_CHRONIC,INMSUPR,TOBACCO,OTHER_DISEASE
,,,0.5706666666666667,375,COPD + RENAL_CHRONIC + INMSUPR,1_1_0,1.0,,,1.0,0.0,,
,,,0.5652173913043478,322,COPD + CARDIOVASCULAR + RENAL_CHRONIC,1_0_1,1.0,,0.0,1.0,,,
,,,0.5648854961832062,393,COPD + ASTHMA + RENAL_CHRONIC,1_0_1,1.0,0.0,,1.0,,,
,,,0.5552147239263804,326,COPD + RENAL_CHRONIC + TOBACCO,1_1_0,1.0,,,1.0,,0.0,
,,,0.5483028720626631,383,COPD + RENAL_CHRONIC + OTHER_DISEASE,1_1_0,1.0,,,1.0,,,0.0
1.0,,,0.5438972162740899,4203,DIABETES + ASTHMA + RENAL_CHRONIC,1_0_1,,0.0,,1.0,,,
1.0,,,0.5437516037977932,3897,DIABETES + RENAL_CHRONIC + TOBACCO,1_1_0,,,,1.0,,0.0,
1.0,,,0.5436039205830611,3979,DIABETES + RENAL_CHRONIC + INMSUPR,1_1_0,,,,1.0,0.0,,
1.0,1.0,,0.5427603725656224,3543,DIABETES + HIPERTENSION + RENAL_CHRONIC,1_1_1,,,,1.0,,,
,,0.0,0.5407166123778502,307,OBESITY + COPD + RENAL_CHRONIC,0_1_1,1.0,,,1.0,,,
1.0,,,0.5403527525387494,3742,DIABETES + CARDIOVASCULAR + RENAL_CHRONIC,1_0_1,,,0.0,1.0,,,
1.0,,,0.5399400898652021,4006,DIABETES + RENAL_CHRONIC + OTHER_DISEASE,1_1_0,,,,1.0,,,0.0
1.0,,,0.5390334572490706,4035,DIABETES + COPD + RENAL_CHRONIC,1_0_1,0.0,,,1.0,,,
1.0,,0.0,0.5374923171481254,3254,DIABETES + OBESITY + RENAL_CHRONIC,1_0_1,,,,1.0,,,
1.0,,1.0,0.535031847133758,1099,DIABETES + OBESITY + RENAL_CHRONIC,1_1_1,,,,1.0,,,
,,,0.5346534653465347,505,RENAL_CHRONIC + TOBACCO + OTHER_DISEASE,1_0_1,,,,1.0,,0.0,1.0
,,,0.5330396475770925,454,RENAL_CHRONIC + INMSUPR + OTHER_DISEASE,1_0_1,,,,1.0,0.0,,1.0
,,,0.5327510917030568,458,CARDIOVASCULAR + RENAL_CHRONIC + OTHER_DISEASE,0_1_1,,,0.0,1.0,,,1.0
,,,0.531986531986532,297,COPD + INMSUPR + OTHER_DISEASE,1_0_1,1.0,,,,0.0,,1.0
,,,0.5297805642633229,319,COPD + ASTHMA + OTHER_DISEASE,1_0_1,1.0,0.0,,,,,1.0
,,,0.5289855072463768,276,COPD + CARDIOVASCULAR + OTHER_DISEASE,1_0_1,1.0,,0.0,,,,1.0
,1.0,,0.5240641711229946,374,HIPERTENSION + COPD + RENAL_CHRONIC,1_1_1,1.0,,,1.0,,,
,,,0.5234657039711191,554,ASTHMA + RENAL_CHRONIC + OTHER_DISEASE,0_1_1,,0.0,,1.0,,,1.0
,1.0,1.0,0.5215272136474411,1231,HIPERTENSION + OBESITY + RENAL_CHRONIC,1_1_1,,,,1.0,,,
,,,0.52,275,COPD + TOBACCO + OTHER_DISEASE,1_0_1,1.0,,,,,0.0,1.0
,,,0.5162523900573613,523,COPD + RENAL_CHRONIC + OTHER_DISEASE,0_1_1,0.0,,,1.0,,,1.0
1.0,,,0.5155482815057283,611,DIABETES + CARDIOVASCULAR + RENAL_CHRONIC,1_1_1,,,1.0,1.0,,,
,,0.0,0.5148936170212766,235,OBESITY + COPD + OTHER_DISEASE,0_1_1,1.0,,,,,,1.0
,,0.0,0.513953488372093,430,OBESITY + RENAL_CHRONIC + OTHER_DISEASE,0_1_1,,,,1.0,,,1.0
,1.0,,0.5123595505617977,445,HIPERTENSION + RENAL_CHRONIC + OTHER_DISEASE,1_1_1,,,,1.0,,,1.0
1.0,0.0,,0.5111111111111111,810,DIABETES + HIPERTENSION + RENAL_CHRONIC,1_0_1,,,,1.0,,,
,1.0,,0.5094850948509485,4797,HIPERTENSION + RENAL_CHRONIC + INMSUPR,1_1_0,,,,1.0,0.0,,
1.0,,,0.5094339622641509,318,DIABETES + COPD + RENAL_CHRONIC,1_1_1,1.0,,,1.0,,,
,,,0.5094339622641509,848,ASTHMA + CARDIOVASCULAR + RENAL_CHRONIC,0_1_1,,0.0,1.0,1.0,,,
,1.0,,0.508209538702111,5116,HIPERTENSION + ASTHMA + RENAL_CHRONIC,1_0_1,,0.0,,1.0,,,
,1.0,,0.5051676861421641,4741,HIPERTENSION + RENAL_CHRONIC + TOBACCO,1_1_0,,,,1.0,,0.0,
,1.0,,0.5033288948069241,751,HIPERTENSION + CARDIOVASCULAR + RENAL_CHRONIC,1_1_1,,,1.0,1.0,,,
,1.0,,0.5020957423339951,4533,HIPERTENSION + CARDIOVASCULAR + RENAL_CHRONIC,1_0_1,,,0.0,1.0,,,
,,,0.5016722408026756,299,COPD + RENAL_CHRONIC + OTHER_DISEASE,1_0_1,1.0,,,0.0,,,1.0
1.0,,,0.5014409221902018,347,DIABETES + RENAL_CHRONIC + OTHER_DISEASE,1_1_1,,,,1.0,,,1.0
,1.0,,0.501343252738169,4839,HIPERTENSION + RENAL_CHRONIC + OTHER_DISEASE,1_1_0,,,,1.0,,,0.0
