DIABETES,HIPERTENSION,death_rate,n,features,combo,OBESITY,COPD,ASTHMA,CARDIOVASCULAR,RENAL_CHRONIC,INMSUPR,TOBACCO,OTHER_DISEASE
1.0,,0.5368711233631978,4353,DIABETES + RENAL_CHRONIC,1_1,,,,,1.0,,,
,1.0,0.5022710068130204,5284,HIPERTENSION + RENAL_CHRONIC,1_1,,,,,1.0,,,
,,0.5020576131687243,486,COPD + RENAL_CHRONIC,1_1,,1.0,,,1.0,,,
,,0.48562300319488816,626,RENAL_CHRONIC + OTHER_DISEASE,1_1,,,,,1.0,,,1.0
,,0.475531914893617,940,CARDIOVASCULAR + RENAL_CHRONIC,1_1,,,,1.0,1.0,,,
,,0.47118847539015607,1666,OBESITY + RENAL_CHRONIC,1_1,1.0,,,,1.0,,,
1.0,,0.46929646197641317,2459,DIABETES + COPD,1_1,,1.0,,,,,,
,1.0,0.46122059758423395,3146,HIPERTENSION + COPD,1_1,,1.0,,,,,,
,,0.4577114427860697,402,COPD + OTHER_DISEASE,1_1,,1.0,,,,,,1.0
,,0.4543147208121827,788,COPD + CARDIOVASCULAR,1_1,,1.0,,1.0,,,,
,,0.4516297944757167,7639,ASTHMA + RENAL_CHRONIC,0_1,,,0.0,,1.0,,,
,,0.4492410527781646,7181,RENAL_CHRONIC + INMSUPR,1_0,,,,,1.0,0.0,,
,,0.44811122033422274,7121,RENAL_CHRONIC + TOBACCO,1_0,,,,,1.0,,0.0,
,,0.44364937388193204,7267,RENAL_CHRONIC + OTHER_DISEASE,1_0,,,,,1.0,,,0.0
,,0.44336438504117726,7407,COPD + RENAL_CHRONIC,0_1,,0.0,,,1.0,,,
,,0.44311807852725443,6953,CARDIOVASCULAR + RENAL_CHRONIC,0_1,,,,0.0,1.0,,,
,,0.4405010438413361,6227,OBESITY + RENAL_CHRONIC,0_1,0.0,,,,1.0,,,
1.0,,0.43897026187305815,2253,DIABETES + OTHER_DISEASE,1_1,,,,,,,,1.0
,,0.4365284974093264,772,RENAL_CHRONIC + TOBACCO,1_1,,,,,1.0,,1.0,
,,0.4241573033707865,712,RENAL_CHRONIC + INMSUPR,1_1,,,,,1.0,1.0,,
,,0.423686553873553,5615,COPD + ASTHMA,1_0,,1.0,0.0,,,,,
,,0.4205629216096767,4299,OBESITY + COPD,0_1,0.0,1.0,,,,,,
,,0.4195121951219512,1230,COPD + TOBACCO,1_1,,1.0,,,,,1.0,
